"answer","uid"
"The Great Smials","296"
"Brandy Hall","297"
"The Old Forest","298"
"The Barrow-downs","299"
"The Bucklebury Ferry","300"
"Tom Bombadil's House","301"
"The Brandywine River","302"
"The Tower of Cirith Ungol","303"
"The Morgul Vale","304"
"The Land of Shadow","305"
"The Field of Cormallen","306"
"The Steward and the King","307"
"Many Partings","308"
"Homeward Bound","309"
"The Scouring of the Shire","310"
"The Grey Havens","311"
"The Last of the Noldor","312"
"Elendil's Sword","313"
"Isildur's Bane","314"
"The Last Debate","315"
"The Field of Cormallen","316"
"The Steward and the King","317"
"Many Partings","318"
"Homeward Bound","319"
"The Scouring of the Shire","320"
"The Grey Havens","321"
"The Last of the Noldor","322"
"Elendil's Sword","323"
"Isildur's Bane","324"
"The Last Debate","325"
"The Field of Cormallen","326"
"The Steward and the King","327"
"Many Partings","328"
"Homeward Bound","329"
"The Scouring of the Shire","330"
"The Grey Havens","331"
"The Last of the Noldor","332"
"Elendil's Sword","333"
"Isildur's Bane","334"
"The Last Debate","335"
"The Field of Cormallen","336"
"The Steward and the King","337"
"Many Partings","338"
"Homeward Bound","339"
"The Scouring of the Shire","340"
"The Scouring of the Shire","341"
"The Grey Havens","342"
"The Last of the Noldor","343"
"Elendil's Sword","344"
"Isildur's Bane","345"
"The Last Debate","346"
"The Field of Cormallen","347"
"The Steward and the King","348"
"Many Partings","349"
"Homeward Bound","350"
"The Scouring of the Shire","351"
"The Grey Havens","352"
"The Last of the Noldor","353"
"Elendil's Sword","354"
"Isildur's Bane","355"
"The Last Debate","356"
"The Field of Cormallen","357"
"The Steward and the King","358"
"Many Partings","359"
"Homeward Bound","360"
"The Scouring of the Shire","361"
"The Grey Havens","362"
"The Last of the Noldor","363"
"Elendil's Sword","364"
"Isildur's Bane","365"
"The Last Debate","366"
"The Field of Cormallen","367"
"The Steward and the King","368"
"Many Partings","369"
"Homeward Bound","370"
"The Scouring of the Shire","371"
"answer","uid"
"The Scouring of the Shire","372"
"The Grey Havens","373"
"The Last of the Noldor","374"
"Elendil's Sword","375"
"Isildur's Bane","376"
"The Last Debate","377"
"The Field of Cormallen","378"
"The Steward and the King","379"
"Many Partings","380"
"Homeward Bound","381"
"The Scouring of the Shire","382"
"The Grey Havens","383"
"The Last of the Noldor","384"
"Elendil's Sword","385"
"Isildur's Bane","386"
"The Last Debate","387"
"The Field of Cormallen","388"
"The Steward and the King","389"
"Many Partings","390"
"Homeward Bound","391"
"The Scouring of the Shire","392"
"The Grey Havens","393"
"The Last of the Noldor","394"
"Elendil's Sword","395"
"Isildur's Bane","396"
"The Last Debate","397"
"The Field of Cormallen","398"
"The Steward and the King","399"
"Many Partings","400"
"Homeward Bound","401"
"The Shire Calendar","402"
"The Red Arrow","403"
"The Stone of Erech","404"
"The Dead Men of Dunharrow","405"
"The Black Serpent of Harad","406"
"The Haradrim","407"
"Prince Imrahil","408"
"The Horn of Gondor","409"
"The Corsairs of Umbar","410"
"The Battle of the Pelennor Fields","411"
"The Corsair Ships","412"
"The Destruction of the Ring","413"
"The Return of the King","414"
"The Grey Havens","415"
"The Departure of Frodo","416"
"The Red Book of Westmarch","417"
"The Shire Reckoning","418"
"The Great Smials","419"
"Brandy Hall","420"
"The Old Forest","421"
"The Barrow-downs","422"
"The Bucklebury Ferry","423"
"Tom Bombadil's House","424"
"The Brandywine River","425"
"The Tower of Cirith Ungol","426"
"The Morgul Vale","427"
"The Land of Shadow","428"
"The Field of Cormallen","429"
"The Steward and the King","430"
"Many Partings","431"
"Homeward Bound","432"
"The Scouring of the Shire","433"
"The Grey Havens","434"
"The Last of the Noldor","435"
"Elendil's Sword","436"
"Isildur's Bane","437"
"The Last Debate","438"
"The Field of Cormallen","439"
"The Steward and the King","440"
"Many Partings","441"
"Homeward Bound","442"
"The Scouring of the Shire","443"
"The Grey Havens","444"
"The Last of the Noldor","445"
"Elendil's Sword","446"
"Isildur's Bane","447"
"The Last Debate","448"
"The Field of Cormallen","449"
"The Steward and the King","450"
"Many Partings","451"
"Homeward Bound","452"
"The Scouring of the Shire","453"
"The Grey Havens","454"
"The Last of the Noldor","455"
"Elendil's Sword","456"
"Isildur's Bane","457"
"The Last Debate","458"
"The Field of Cormallen","459"
"The Steward and the King","460"
"Many Partings","461"
"Homeward Bound","462"
"The Scouring of the Shire","463"
"The Grey Havens","464"
"The Last of the Noldor","465"
"Elendil's Sword","466"
"Isildur's Bane","467"
"The Last Debate","468"
"The Field of Cormallen","469"
"The Steward and the King","470"
"Many Partings","471"
"Homeward Bound","472"
"The Scouring of the Shire","473"
"The Grey Havens","474"
"The Last of the Noldor","475"
"Elendil's Sword","476"
"Isildur's Bane","477"
"The Last Debate","478"
"The Field of Cormallen","479"
"The Steward and the King","480"
"Many Partings","481"
"Homeward Bound","482"
"The Scouring of the Shire","483"
"The Grey Havens","484"
"The Last of the Noldor","485"
"Elendil's Sword","486"
"Isildur's Bane","487"
